	feature	weight	abs
2083	TRIB2	0.1175995093667697	0.1175995093667697
1139	FLOT2	-0.11694926173898798	0.11694926173898798
4739	CD2AP	0.11689218725295138	0.11689218725295138
7252	SNX7	0.11613421439473746	0.11613421439473746
5509	TMEM167B	0.11498294603914141	0.11498294603914141
4227	MEF2A	0.11415774182060286	0.11415774182060286
7408	NUP43	-0.11288849396094015	0.11288849396094015
5113	ISOC2	-0.11172741254431759	0.11172741254431759
5401	SHISA2	0.10998530476079021	0.10998530476079021
1897	SEPT7	0.1085948205581526	0.1085948205581526
1398	GPC3	-0.10770603834245496	0.10770603834245496
3375	TMEM33	-0.10734358884529971	0.10734358884529971
1832	MGLL	-0.10653158977872526	0.10653158977872526
1662	AGR2	0.10612956845922414	0.10612956845922414
399	ATP5A1	0.1035127530211679	0.1035127530211679
1033	EIF4H	0.10293633437837962	0.10293633437837962
4312	CCL2	0.10210881884980991	0.10210881884980991
7765	NOTCH2NL	0.10195586255205484	0.10195586255205484
4397	KIFC2	0.1013553688089073	0.1013553688089073
5882	DUSP22	-0.10029904815917584	0.10029904815917584
756	TSC22D1	-0.09847750466687706	0.09847750466687706
2627	SLC4A2	0.09822452339336504	0.09822452339336504
5265	TFCP2L1	0.09810677529963241	0.09810677529963241
1734	PCDHGC3	0.09757201104349669	0.09757201104349669
5425	KIAA0196	0.09750007305011922	0.09750007305011922
7116	SLC25A43	0.09732131416981482	0.09732131416981482
4712	PEX6	-0.09661277920904078	0.09661277920904078
5548	MLST8	-0.09630453413063707	0.09630453413063707
3091	RAB13	0.09524922839697461	0.09524922839697461
6031	PHF12	-0.09502842952577789	0.09502842952577789
6604	AMMECR1	0.09337663564161794	0.09337663564161794
6653	IL33	-0.09299216856078688	0.09299216856078688
1566	G3BP2	-0.09177527951115935	0.09177527951115935
4156	H2AFY2	0.0904945532492316	0.0904945532492316
4159	NUMB	0.0904506504484357	0.0904506504484357
3148	PIAS3	0.08883245433850828	0.08883245433850828
6783	NDUFA3	-0.08845437460088942	0.08845437460088942
7012	CHFR	0.08811624625042107	0.08811624625042107
5505	SLC2A10	0.08772151345577793	0.08772151345577793
5621	ERGIC2	0.08768169380907657	0.08768169380907657
639	PDLIM1	-0.08730960345725067	0.08730960345725067
6172	ARTN	-0.08590006060804725	0.08590006060804725
7236	MUT	0.08564383412922694	0.08564383412922694
6147	CPXM1	0.08483515820865666	0.08483515820865666
6947	BAMBI	-0.08253838728748213	0.08253838728748213
3699	EHD4	0.08211163384434801	0.08211163384434801
4033	DUSP16	-0.08148516909316009	0.08148516909316009
1998	TRAP1	-0.08126333260324628	0.08126333260324628
4418	CD99L2	0.08099953192485647	0.08099953192485647
1747	NUFIP2	-0.07980946557427353	0.07980946557427353
7095	ADAMTS2	0.07970879777725814	0.07970879777725814
1956	ANXA4	-0.07873014018725036	0.07873014018725036
3371	SCGB3A2	-0.07821804967852662	0.07821804967852662
8017	LUSC	-0.07819214065498019	0.07819214065498019
3740	ZNF512B	0.07790730178825389	0.07790730178825389
4616	TSPAN17	-0.07745970174042646	0.07745970174042646
661	CHCHD2	-0.07511328098999072	0.07511328098999072
5107	NIPA2	-0.07398877759574049	0.07398877759574049
2791	MBOAT7	-0.07321535425219737	0.07321535425219737
4298	IVL	-0.07273168440112036	0.07273168440112036
4512	CYBASC3	-0.07258838562507666	0.07258838562507666
1306	SNHG5	-0.0724529403296889	0.0724529403296889
4214	OSBPL2	-0.07223990983834985	0.07223990983834985
6671	PKIG	-0.07213147727091146	0.07213147727091146
2261	TJP2	0.07104994929384842	0.07104994929384842
6352	GOSR2	0.07065894151914008	0.07065894151914008
1955	NRCAM	0.07052477427105712	0.07052477427105712
5811	IL2RB	0.07009513727044787	0.07009513727044787
774	CLPTM1L	-0.06988499200390899	0.06988499200390899
281	LMNA	0.06962238117775442	0.06962238117775442
2735	DNM1L	0.06952379451774586	0.06952379451774586
7047	PLCXD1	-0.06895189767352948	0.06895189767352948
7129	SATB1	-0.06886825514329661	0.06886825514329661
6964	NFATC1	-0.06839493237702889	0.06839493237702889
1305	MARCH6	-0.06763959200791102	0.06763959200791102
93	PLEC	0.06746919088068568	0.06746919088068568
4123	COL5A3	0.0667727208340476	0.0667727208340476
1627	APOC1	-0.06452442131998923	0.06452442131998923
4891	SCYL2	0.06423406340037391	0.06423406340037391
3097	EXOC3	-0.06357793906936442	0.06357793906936442
472	BCAM	-0.06331366638820066	0.06331366638820066
7484	PHF23	-0.06318502884761297	0.06318502884761297
4694	TSC22D4	0.06270253330194435	0.06270253330194435
2969	UFC1	-0.06257695033083809	0.06257695033083809
3508	STK17A	-0.0621471655451594	0.0621471655451594
6029	MSC	-0.06207890816191991	0.06207890816191991
6244	CBARA1	0.062034873580613964	0.062034873580613964
1058	TM9SF2	-0.0616075846677011	0.0616075846677011
2202	GFPT1	-0.06101822056329048	0.06101822056329048
7032	PGCP	-0.06035288698434692	0.06035288698434692
5912	CPNE8	0.059683576376415026	0.059683576376415026
2800	CRIP2	0.059659154981712426	0.059659154981712426
3748	ANAPC7	0.05897674631042417	0.05897674631042417
2376	DPP7	-0.05877154118800546	0.05877154118800546
2097	LOXL2	0.0575022410745616	0.0575022410745616
7657	EIF3C	-0.057301729581298554	0.057301729581298554
5052	LRRC1	0.05671554647634836	0.05671554647634836
540	CTSH	-0.05652070562409281	0.05652070562409281
6992	SETBP1	0.05638900425308649	0.05638900425308649
2181	PLEKHG3	0.056219638024221	0.056219638024221
4464	ANK3	-0.05610747220948027	0.05610747220948027
5747	TBC1D20	0.05576388609285081	0.05576388609285081
5908	LARGE	-0.05556976812144861	0.05556976812144861
6519	GULP1	0.05468269227432776	0.05468269227432776
1534	SUPT6H	-0.053936018511919336	0.053936018511919336
5949	LEF1	-0.05338599505577407	0.05338599505577407
5345	TPRA1	-0.0533842746538893	0.0533842746538893
431	SERPINE1	0.053034668118438856	0.053034668118438856
331	SLC3A2	-0.05291601142943158	0.05291601142943158
2965	FST	-0.052729452709519696	0.052729452709519696
5118	SOCS2	0.051559544498297964	0.051559544498297964
1193	GOLPH3	-0.05114054218555202	0.05114054218555202
3529	UBE2K	-0.05090334225331547	0.05090334225331547
5525	MAP1S	-0.050230858586978844	0.050230858586978844
2381	RNASEN	-0.05023043272344007	0.05023043272344007
3053	HIPK1	0.04942179298184927	0.04942179298184927
2798	SEC63	-0.04936065406659811	0.04936065406659811
4411	SLC5A3	0.047742711628382575	0.047742711628382575
7908	GPSM1	-0.046688673193567114	0.046688673193567114
4094	NPAS2	0.046395657864957744	0.046395657864957744
7248	NAPG	0.04581626855563896	0.04581626855563896
5531	PELI2	-0.04566134073209413	0.04566134073209413
6294	LOC388152	-0.04486422799484316	0.04486422799484316
459	DPYSL3	-0.044655837138164726	0.044655837138164726
1282	INTS1	-0.044498066653934604	0.044498066653934604
1360	ERMP1	-0.043195352402397066	0.043195352402397066
4338	CHL1	-0.04319402645454851	0.04319402645454851
601	SPARCL1	-0.043175512107346464	0.043175512107346464
5054	MED10	-0.04294959175408051	0.04294959175408051
7369	MAP3K3	0.04280819630468201	0.04280819630468201
6596	DCBLD1	-0.04275200857112231	0.04275200857112231
7489	MCTP2	0.0427485623891022	0.0427485623891022
6967	EDN1	-0.04258556395551913	0.04258556395551913
4004	UBAC2	-0.04229557817378837	0.04229557817378837
5171	PCMT1	-0.04097212120546549	0.04097212120546549
5312	NUBP2	-0.04081864249257658	0.04081864249257658
7538	MMP13	-0.03991535734913686	0.03991535734913686
7984	LOC147727	-0.03951955037482624	0.03951955037482624
2914	ZFP91	0.039065954155258535	0.039065954155258535
7353	C19orf66	-0.038985556052790214	0.038985556052790214
1724	NDUFA13	-0.0388169998966065	0.0388169998966065
156	GPC1	-0.03875071409991882	0.03875071409991882
3988	TBC1D9	-0.03870242177410103	0.03870242177410103
3839	MBNL2	-0.03869748724972634	0.03869748724972634
2537	SPSB1	-0.038639071340546054	0.038639071340546054
6920	DDX10	-0.03851961562989915	0.03851961562989915
3020	VOPP1	-0.03815102675447288	0.03815102675447288
1148	IDS	0.03773684048759355	0.03773684048759355
5234	CREB3L1	0.03772376221436681	0.03772376221436681
3573	PHF3	0.03770957573500849	0.03770957573500849
6409	TCEA3	-0.037674275859967334	0.037674275859967334
1700	ERBB3	0.03766292498010899	0.03766292498010899
5569	UTP6	-0.03724656334017945	0.03724656334017945
4889	RAPH1	-0.0369690225535179	0.0369690225535179
2374	TNFAIP1	-0.03639519219712099	0.03639519219712099
5627	UPF2	0.03639039901240146	0.03639039901240146
5219	PPTC7	0.03638193363823235	0.03638193363823235
3801	WBP5	0.03630761161607983	0.03630761161607983
7327	LOC283070	-0.036224915821264615	0.036224915821264615
6206	ADA	-0.035988870839914325	0.035988870839914325
2516	SRP68	0.035834237011966585	0.035834237011966585
7605	E2F7	0.03513254191882917	0.03513254191882917
1368	C14orf147	-0.034516732462057366	0.034516732462057366
4561	BFAR	-0.03440013757946888	0.03440013757946888
4793	PPP2R5D	0.033918741485940165	0.033918741485940165
4770	ZRANB2	-0.03360846939390068	0.03360846939390068
6163	RNF144A	0.03338427222541713	0.03338427222541713
1269	DLG5	0.03268877179211462	0.03268877179211462
6698	CPPED1	-0.03238063990732189	0.03238063990732189
7079	FOXO3B	-0.03231753909988295	0.03231753909988295
723	DAZAP2	0.032289486455570525	0.032289486455570525
2216	UBL5	-0.032169624011195934	0.032169624011195934
949	MYO1B	-0.0314767349021056	0.0314767349021056
778	IGF1R	0.03141680402995609	0.03141680402995609
548	SULF2	0.0311808776378582	0.0311808776378582
4481	B3GNT2	-0.031172070510990996	0.031172070510990996
7021	ARHGEF3	-0.030820225120695793	0.030820225120695793
5511	LMCD1	-0.029793849562497515	0.029793849562497515
1698	UBE3C	0.028582814596055526	0.028582814596055526
3334	FAM91A1	0.02840453789413086	0.02840453789413086
6678	ZHX1	0.02797214202292273	0.02797214202292273
6663	TTPAL	0.0273550861539396	0.0273550861539396
1669	ZNF146	-0.02716417424655574	0.02716417424655574
65	S100A6	0.027042940460039522	0.027042940460039522
252	SLC25A5	0.027042546768064838	0.027042546768064838
7876	CMKLR1	0.02691961095261656	0.02691961095261656
2530	HSD17B12	-0.026408852443781727	0.026408852443781727
2304	TPBG	0.026278349775588992	0.026278349775588992
687	YWHAB	-0.025801849312820698	0.025801849312820698
6264	TIMM44	-0.025749666436992173	0.025749666436992173
3556	MTMR12	-0.025739880616562707	0.025739880616562707
5653	TBC1D4	-0.025670914335050532	0.025670914335050532
3858	SLC38A5	-0.02562737701698039	0.02562737701698039
2897	TC2N	0.025593548636600877	0.025593548636600877
292	TMEM123	-0.025199317199251312	0.025199317199251312
5942	TLR2	-0.025037446884033036	0.025037446884033036
7243	GCAT	-0.024960097105726307	0.024960097105726307
2448	MLL4	-0.02457146246776754	0.02457146246776754
5920	WAPAL	-0.024107813070236166	0.024107813070236166
7458	ABCB8	0.02389707791917311	0.02389707791917311
2788	HMGCR	-0.02372378975534116	0.02372378975534116
6393	ZNF587	-0.023540967812213875	0.023540967812213875
5623	GOSR1	-0.023534741973454874	0.023534741973454874
4037	ERAL1	-0.023286292509396206	0.023286292509396206
273	TXNIP	-0.02320528090518762	0.02320528090518762
7420	C19orf60	-0.0225472611227456	0.0225472611227456
4566	PPM1H	-0.022176999572474314	0.022176999572474314
5010	KIAA1543	-0.022042061522578975	0.022042061522578975
4748	UBE2G1	-0.021826869605228262	0.021826869605228262
6429	PHF6	-0.021672764921309987	0.021672764921309987
7085	CCDC109A	0.021427579696345386	0.021427579696345386
821	VCL	0.0211746758971487	0.0211746758971487
5110	DNAJC2	0.02116854651339963	0.02116854651339963
6686	PAQR3	-0.020981107271776323	0.020981107271776323
1261	PTPLAD1	-0.020910959482803887	0.020910959482803887
2479	PRMT5	0.02069682087655451	0.02069682087655451
2549	SMAD2	0.020616462180447135	0.020616462180447135
6345	CSGALNACT2	0.020338179255851973	0.020338179255851973
2832	ERAP2	-0.019772720270434398	0.019772720270434398
3475	FOXO3	-0.019766872857454373	0.019766872857454373
2963	TRAM2	0.0197421752196729	0.0197421752196729
2991	OLFML2A	-0.01972576226953318	0.01972576226953318
7288	FBXO41	-0.019697689103062126	0.019697689103062126
4916	CCDC137	0.019584066853714516	0.019584066853714516
7618	TAB3	0.019507029601187574	0.019507029601187574
2601	CLTB	-0.019464285701924187	0.019464285701924187
6095	PLEKHH3	0.01940285763362332	0.01940285763362332
3485	MAGED4B	0.019206411956752066	0.019206411956752066
1683	SFRS9	0.019189841312766007	0.019189841312766007
7897	FADS3	-0.018842555454776224	0.018842555454776224
5223	SLC25A11	-0.018614493879253197	0.018614493879253197
3897	PBX2	0.018586610193143928	0.018586610193143928
7347	MRI1	0.01854757584373442	0.01854757584373442
5024	C16orf72	-0.018433181341527098	0.018433181341527098
1325	PYCR1	0.018262039883460455	0.018262039883460455
7254	CHST10	0.01825787908578962	0.01825787908578962
3078	RNF167	-0.017992858414448167	0.017992858414448167
6201	NFATC4	0.01779550462663766	0.01779550462663766
277	CCT5	-0.01722843309690874	0.01722843309690874
1011	CHI3L1	-0.01715537244049964	0.01715537244049964
7692	PPIH	-0.017018169027842173	0.017018169027842173
7680	CACNB3	0.016966265241015823	0.016966265241015823
3669	DPP9	0.016940785972625126	0.016940785972625126
4744	MRPS2	-0.01673985436190813	0.01673985436190813
6749	PHKA2	0.01655633601753306	0.01655633601753306
7127	CD36	-0.016419847018351138	0.016419847018351138
4053	JARID2	-0.016197041769456383	0.016197041769456383
1022	TMEM132A	-0.015606695884049728	0.015606695884049728
2154	ITPKC	-0.015325968272591828	0.015325968272591828
2123	ARGLU1	-0.015316695284574475	0.015316695284574475
4359	KANK1	-0.015174703822065191	0.015174703822065191
4414	FAM131A	-0.015087661822988712	0.015087661822988712
3308	CNOT7	-0.015030133393006422	0.015030133393006422
3599	GRHL3	0.01499216246680872	0.01499216246680872
7359	MBTPS2	0.014974878589261357	0.014974878589261357
2412	PRRX1	0.014910673444364508	0.014910673444364508
2883	MYBBP1A	-0.014764826719037994	0.014764826719037994
4658	FAM126A	0.014635969606147242	0.014635969606147242
3341	BRD9	-0.01428273030440493	0.01428273030440493
7569	MAP2K4	-0.013811728260428863	0.013811728260428863
1711	NDUFS5	0.013724761903296799	0.013724761903296799
5135	MRC1	-0.013474367495261716	0.013474367495261716
1965	HNRPDL	-0.013344257480152756	0.013344257480152756
7405	C11orf48	-0.013096591439080795	0.013096591439080795
4942	FAM3A	0.013091204924891145	0.013091204924891145
7886	GAL3ST4	0.013009966344489813	0.013009966344489813
5787	CDYL	-0.012898009257762938	0.012898009257762938
7941	SNORA8	-0.012888253771281884	0.012888253771281884
1922	TRIP6	0.012826510823490164	0.012826510823490164
4832	C22orf29	0.012666860762896739	0.012666860762896739
1143	EPHB4	0.012537042671043818	0.012537042671043818
2548	ANO1	-0.012110112489364437	0.012110112489364437
3702	SLTM	-0.011947881801087355	0.011947881801087355
6458	SPSB3	-0.011940133607283803	0.011940133607283803
3785	KLK10	-0.01184741922376865	0.01184741922376865
4179	TOP1MT	0.011793142896594904	0.011793142896594904
6928	FGD1	0.011248467344555669	0.011248467344555669
5030	EIF4E2	-0.01102671427690742	0.01102671427690742
91	KRT16	-0.010943410317010965	0.010943410317010965
906	GNB2	0.010930553856938087	0.010930553856938087
1630	SCRN1	0.010729292493621789	0.010729292493621789
1804	GIT1	-0.010378961683149309	0.010378961683149309
2492	NUP153	-0.010334801451921744	0.010334801451921744
5136	MPDU1	-0.010216533077599439	0.010216533077599439
844	LRP10	0.010170039748759326	0.010170039748759326
3302	TSPAN6	0.010105092869105187	0.010105092869105187
4584	VPS8	-0.010080134534996097	0.010080134534996097
5083	YIF1B	-0.009935343618746128	0.009935343618746128
7975	NFASC	-0.009879396854570673	0.009879396854570673
4725	SUDS3	0.009686463752462742	0.009686463752462742
4872	LPCAT4	0.009593592082320598	0.009593592082320598
641	HMGCS1	-0.009566581871356618	0.009566581871356618
5863	RPAP1	-0.009192558064879532	0.009192558064879532
7251	LYPD6B	-0.009159346992819332	0.009159346992819332
408	SLC1A5	-0.008847077755407953	0.008847077755407953
5095	SRD5A3	-0.008093087029741692	0.008093087029741692
6870	ALG12	-0.008060383881185329	0.008060383881185329
1501	CD82	0.008013062056302854	0.008013062056302854
7980	ACBD6	-0.0077651698192369775	0.0077651698192369775
2437	UGP2	-0.007604744584357675	0.007604744584357675
7815	ULBP2	-0.007442171068788928	0.007442171068788928
7776	MUL1	-0.007353496387574084	0.007353496387574084
5491	NFYC	-0.007270885629166358	0.007270885629166358
1908	EXOC7	0.007236829449249105	0.007236829449249105
2875	TPRG1L	-0.007130583044761947	0.007130583044761947
6855	DDX50	0.0070424621706749345	0.0070424621706749345
4730	GALNS	-0.006950730033789333	0.006950730033789333
850	SEPW1	-0.006673442051319018	0.006673442051319018
5442	ARFIP2	0.006542811243349566	0.006542811243349566
5784	HSDL2	-0.006367241564736126	0.006367241564736126
7632	RUFY3	-0.006259192204014637	0.006259192204014637
6183	USMG5	-0.006229653934830726	0.006229653934830726
1974	LUC7L3	-0.005111039522452806	0.005111039522452806
7697	TWISTNB	0.004461625523542565	0.004461625523542565
2018	EML4	-0.004447124756203818	0.004447124756203818
6005	NUP54	-0.0043577394459335	0.0043577394459335
4257	GOLGA5	0.004254883742930754	0.004254883742930754
1539	GDI1	0.0042080444147442825	0.0042080444147442825
1233	SLC44A2	-0.004195159518022636	0.004195159518022636
5609	PSPH	-0.003943454349780701	0.003943454349780701
6631	MYO15B	-0.0038782330685055676	0.0038782330685055676
1278	MORF4L1	-0.0036799269469853517	0.0036799269469853517
7713	QTRT1	-0.003621266247586953	0.003621266247586953
5849	CALCRL	0.0032624487493508303	0.0032624487493508303
1978	ACSL1	-0.0032386529876666506	0.0032386529876666506
5037	PMPCA	-0.003116030319238286	0.003116030319238286
5094	PPP3CB	0.0028840668983782305	0.0028840668983782305
1316	IRF2BP2	-0.002779355629755359	0.002779355629755359
2019	ATP5O	-0.002748152550865545	0.002748152550865545
1092	SEL1L3	0.002536187436819378	0.002536187436819378
4586	CMTM3	-0.00246236786450869	0.00246236786450869
5469	TMEM161A	-0.002374647782650637	0.002374647782650637
5783	C1orf63	-0.0023580263038471337	0.0023580263038471337
1782	PIM3	-0.0022859409119057646	0.0022859409119057646
2494	PLCG1	0.0022816694127468606	0.0022816694127468606
7109	USP6NL	0.0019725563703362533	0.0019725563703362533
1017	TARS	-0.0017443081058199355	0.0017443081058199355
7049	NSMCE1	-0.0016274306498257282	0.0016274306498257282
4240	NSF	0.0014673962418086796	0.0014673962418086796
5862	AKIRIN2	-0.001381041049088442	0.001381041049088442
5170	PUS7	0.0012707549425262901	0.0012707549425262901
3203	EGLN2	-0.001266285991006738	0.001266285991006738
7837	GCNT1	-0.0010642106218008427	0.0010642106218008427
6212	RABGGTB	-0.0008538439701291044	0.0008538439701291044
1981	PACS1	0.00039363099562106406	0.00039363099562106406
5355	C9orf16	-0.0003672511506892512	0.0003672511506892512
7432	PFAS	-0.0002644706075193474	0.0002644706075193474
5903	RFXANK	-4.442810302566789e-05	4.442810302566789e-05
5410	NEK6	0.0	0.0
5409	MPP7	0.0	0.0
5417	C14orf43	0.0	0.0
5404	DNMT3A	0.0	0.0
5405	NDUFA5	0.0	0.0
5183	COCH	0.0	0.0
5965	SOX7	0.0	0.0
5191	RAB40C	0.0	0.0
5406	TERF2IP	0.0	0.0
5416	ADCK2	0.0	0.0
5190	MINA	0.0	0.0
5184	UNC119	0.0	0.0
5415	OXR1	0.0	0.0
5185	PRKD3	0.0	0.0
5189	RNF185	0.0	0.0
5188	DCUN1D5	0.0	0.0
5414	MLPH	0.0	0.0
5413	MAEA	0.0	0.0
5407	MCRS1	0.0	0.0
5412	SNF8	0.0	0.0
5187	CRTC3	0.0	0.0
5966	ADCY6	0.0	0.0
5408	ALOX5	0.0	0.0
5186	MED16	0.0	0.0
5411	ARL4A	0.0	0.0
5192	C16orf53	0.0	0.0
5403	PHF21A	0.0	0.0
5288	TRA2A	0.0	0.0
5402	BRPF3	0.0	0.0
5386	DECR1	0.0	0.0
5205	LPCAT2	0.0	0.0
5206	SLC25A24	0.0	0.0
5390	MELK	0.0	0.0
5389	USF1	0.0	0.0
5388	SMYD2	0.0	0.0
5207	STK10	0.0	0.0
5387	USP8	0.0	0.0
5973	SYNGR1	0.0	0.0
5392	CDC34	0.0	0.0
5385	ANKRD13A	0.0	0.0
5384	GNPNAT1	0.0	0.0
5383	MAP4K5	0.0	0.0
5208	CTDSPL2	0.0	0.0
5382	ANAPC1	0.0	0.0
5209	TIMM8B	0.0	0.0
5210	CHD9	0.0	0.0
5391	AASS	0.0	0.0
5204	SLCO2A1	0.0	0.0
5193	THOP1	0.0	0.0
5197	CTTNBP2NL	0.0	0.0
5400	MAFF	0.0	0.0
5194	CCDC97	0.0	0.0
5195	GRIPAP1	0.0	0.0
5399	UXT	0.0	0.0
5398	UACA	0.0	0.0
5196	ACSL5	0.0	0.0
5396	ZNF131	0.0	0.0
5198	KDELR3	0.0	0.0
5393	UBXN7	0.0	0.0
5395	CASP7	0.0	0.0
5199	FECH	0.0	0.0
5394	SLC35B1	0.0	0.0
5200	DOCK6	0.0	0.0
5201	STRA13	0.0	0.0
5202	GLA	0.0	0.0
5203	SFTPC	0.0	0.0
5397	CHMP4A	0.0	0.0
5418	VTCN1	0.0	0.0
5182	GPSM2	0.0	0.0
5449	SHROOM2	0.0	0.0
5154	ATR	0.0	0.0
5155	LRP8	0.0	0.0
5156	MLF1IP	0.0	0.0
5975	TRUB2	0.0	0.0
5157	SCAND1	0.0	0.0
5451	KIAA1267	0.0	0.0
5450	TOM1L1	0.0	0.0
5963	ZFYVE26	0.0	0.0
5448	PAN2	0.0	0.0
5452	PCYT2	0.0	0.0
5447	USP28	0.0	0.0
5446	ANKRD12	0.0	0.0
5158	NR2F2	0.0	0.0
5445	PRKRA	0.0	0.0
5444	ABHD14B	0.0	0.0
5159	HEATR7A	0.0	0.0
5964	SASH1	0.0	0.0
5443	SLC35C2	0.0	0.0
5153	ZNF259	0.0	0.0
5453	BTF3L4	0.0	0.0
5181	FBXO21	0.0	0.0
5459	HIVEP1	0.0	0.0
5461	ATG2A	0.0	0.0
5142	PSMG3	0.0	0.0
5143	GPR153	0.0	0.0
5144	NAA10	0.0	0.0
5145	NFKBIL2	0.0	0.0
5146	METRNL	0.0	0.0
5460	PLEKHM1	0.0	0.0
5147	RPP25	0.0	0.0
5148	EPS15L1	0.0	0.0
5152	GLOD4	0.0	0.0
5458	KIAA1468	0.0	0.0
5457	CELF2	0.0	0.0
5149	DHX30	0.0	0.0
5150	GNPAT	0.0	0.0
5151	KCTD10	0.0	0.0
5456	OSBPL1A	0.0	0.0
5455	HDDC2	0.0	0.0
5454	ZKSCAN1	0.0	0.0
5160	TGFBR3	0.0	0.0
5441	NPIPL3	0.0	0.0
5161	SLC30A9	0.0	0.0
5421	KIF4A	0.0	0.0
5427	TSPAN33	0.0	0.0
5426	C1orf93	0.0	0.0
5172	PEX13	0.0	0.0
5173	MAML1	0.0	0.0
5174	MED25	0.0	0.0
5424	TSC22D2	0.0	0.0
5423	BCAP29	0.0	0.0
5422	SPRY4	0.0	0.0
5175	RNF126	0.0	0.0
5440	ISCU	0.0	0.0
5420	ANKRD27	0.0	0.0
5176	BCAS3	0.0	0.0
5177	ECHDC1	0.0	0.0
5178	AXIN1	0.0	0.0
5419	UNC13D	0.0	0.0
5179	C1orf151	0.0	0.0
5381	PIK3C2A	0.0	0.0
5180	LRCH4	0.0	0.0
5428	SLC10A3	0.0	0.0
5429	STEAP2	0.0	0.0
5430	PDIA5	0.0	0.0
5431	VPS13B	0.0	0.0
5162	FAM21C	0.0	0.0
5439	EIF2AK3	0.0	0.0
5438	FKBP2	0.0	0.0
5163	SIPA1	0.0	0.0
5437	ATM	0.0	0.0
5974	PPAN	0.0	0.0
5436	TMPRSS2	0.0	0.0
5435	GLRX5	0.0	0.0
5164	ATP10D	0.0	0.0
5165	TBC1D1	0.0	0.0
5434	MCF2L	0.0	0.0
5433	TXNL4A	0.0	0.0
5166	ARHGEF16	0.0	0.0
5167	WDFY3	0.0	0.0
5432	GTF2IRD1	0.0	0.0
5168	CROCC	0.0	0.0
5169	PPCS	0.0	0.0
5211	CCNDBP1	0.0	0.0
5377	PTPN9	0.0	0.0
5212	HAUS4	0.0	0.0
5325	NUP88	0.0	0.0
5324	YTHDC1	0.0	0.0
5323	SDCBP2	0.0	0.0
5322	FBXL3	0.0	0.0
5321	VPS41	0.0	0.0
5267	SH3KBP1	0.0	0.0
5320	COMMD4	0.0	0.0
5268	ZBTB33	0.0	0.0
5269	MRPL42	0.0	0.0
5319	TPST2	0.0	0.0
5318	PARP6	0.0	0.0
5317	POLR2D	0.0	0.0
5270	CASP3	0.0	0.0
5316	DIO2	0.0	0.0
5271	RASAL2	0.0	0.0
5315	IP6K2	0.0	0.0
5272	TFIP11	0.0	0.0
5314	VWA5A	0.0	0.0
5266	APOBEC3G	0.0	0.0
5326	DBNDD2	0.0	0.0
5273	ITPA	0.0	0.0
5264	SLC15A2	0.0	0.0
5335	TNKS	0.0	0.0
5256	FERMT3	0.0	0.0
5334	MOBKL3	0.0	0.0
5257	CTCF	0.0	0.0
5333	CLK2	0.0	0.0
5332	GET4	0.0	0.0
5258	RLIM	0.0	0.0
5331	PSKH1	0.0	0.0
